2022-05-10 18-50-13	The case 'test_setting':  Start
2022-05-10 18-50-16	The case 'test_setting':  Pass.............................................
2022-05-10 18-50-17	The case 'test_setting':  End
2022-05-10 18-50-17	The case 'test_cloud_intergration':  Start
2022-05-10 18-50-20	The case 'test_cloud_intergration':  Pass.............................................
2022-05-10 18-50-20	The case 'test_cloud_intergration':  End
2022-05-10 18-50-20	The case 'test_about':  Start
2022-05-10 18-50-23	The case 'test_about':  Pass.............................................
2022-05-10 18-50-23	The case 'test_about':  End
2022-05-10 18-50-23	The case 'test_new_file':  Start
2022-05-10 18-50-28	The case 'test_new_file':  Pass.............................................
2022-05-10 18-50-28	The case 'test_new_file':  End
2022-05-10 18-50-28	The case 'test_open_file':  Start
