2022-05-10 18-34-20	The case 'test_setting':  Start
2022-05-10 18-34-23	The case 'test_setting':  Pass.............................................
2022-05-10 18-34-23	The case 'test_setting':  End
2022-05-10 18-34-23	The case 'test_cloud_intergration':  Start
2022-05-10 18-34-26	The case 'test_cloud_intergration':  Failxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2022-05-10 18-34-27	The case 'test_cloud_intergration':  End
2022-05-10 18-34-27	The case 'test_about':  Start
2022-05-10 18-34-30	The case 'test_about':  Pass.............................................
2022-05-10 18-34-30	The case 'test_about':  End
2022-05-10 18-34-30	The case 'test_new_file':  Start
2022-05-10 18-34-34	The case 'test_new_file':  Pass.............................................
2022-05-10 18-34-34	The case 'test_new_file':  End
2022-05-10 18-34-34	The case 'test_open_file':  Start
2022-05-10 18-34-39	The case 'test_open_file':  Pass.............................................
2022-05-10 18-34-39	The case 'test_open_file':  End
2022-05-10 18-34-39	The case 'test_export_file':  Start
